suburb,state,sal_code,census_year,median_age,median_household_income_weekly,avg_household_size,owner_occupied_pct,renter_pct,household_composition_json
Aarons Pass,NSW,SAL10001,2021,59.0,1625.0,2.4,100.0,0.0,"{""family_household_pct"": 91.7, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Abbotsbury,NSW,SAL10002,2021,42.0,2621.0,3.3,87.2,10.4,"{""family_household_pct"": 89.6, ""non_family_household_pct"": 10.4, ""lone_person_pct"": 9.7}"
Abbotsford,NSW,SAL10003,2021,47.0,2263.0,2.3,61.0,36.4,"{""family_household_pct"": 68.2, ""non_family_household_pct"": 31.7, ""lone_person_pct"": 29.4}"
Abercrombie,NSW,SAL10004,2021,39.0,2202.0,2.8,85.3,15.2,"{""family_household_pct"": 80.9, ""non_family_household_pct"": 19.1, ""lone_person_pct"": 16.2}"
Abercrombie River,NSW,SAL10005,2021,58.0,1024.0,1.8,80.0,0.0,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Aberdare,NSW,SAL10006,2021,36.0,1251.0,2.5,63.1,34.9,"{""family_household_pct"": 67.2, ""non_family_household_pct"": 33.0, ""lone_person_pct"": 30.3}"
Aberdeen,NSW,SAL10007,2021,41.0,1426.0,2.4,73.6,23.9,"{""family_household_pct"": 67.5, ""non_family_household_pct"": 32.0, ""lone_person_pct"": 29.9}"
Aberfoyle,NSW,SAL10008,2021,37.0,2250.0,2.9,72.5,10.0,"{""family_household_pct"": 70.0, ""non_family_household_pct"": 15.0, ""lone_person_pct"": 7.5}"
Aberglasslyn,NSW,SAL10009,2021,32.0,2147.0,3.0,67.2,31.7,"{""family_household_pct"": 84.6, ""non_family_household_pct"": 15.2, ""lone_person_pct"": 13.2}"
Abermain,NSW,SAL10010,2021,37.0,1449.0,2.7,78.1,19.1,"{""family_household_pct"": 73.2, ""non_family_household_pct"": 26.7, ""lone_person_pct"": 22.3}"
Abernethy,NSW,SAL10011,2021,37.0,2069.0,3.0,84.5,7.8,"{""family_household_pct"": 80.6, ""non_family_household_pct"": 14.6, ""lone_person_pct"": 13.6}"
Abington,NSW,SAL10012,2021,42.0,2374.0,2.7,87.5,0.0,"{""family_household_pct"": 112.5, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Acacia Creek,NSW,SAL10013,2021,53.0,949.0,2.1,23.1,23.1,"{""family_household_pct"": 61.5, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 30.8}"
Acacia Gardens,NSW,SAL10014,2021,36.0,2796.0,3.2,78.4,20.2,"{""family_household_pct"": 89.2, ""non_family_household_pct"": 10.4, ""lone_person_pct"": 9.4}"
Adaminaby,NSW,SAL10015,2021,52.0,954.0,2.0,76.3,15.3,"{""family_household_pct"": 57.3, ""non_family_household_pct"": 39.7, ""lone_person_pct"": 39.7}"
Adamstown,NSW,SAL10016,2021,36.0,1875.0,2.4,58.0,39.5,"{""family_household_pct"": 63.3, ""non_family_household_pct"": 36.6, ""lone_person_pct"": 29.6}"
Adamstown Heights,NSW,SAL10017,2021,39.0,2325.0,2.8,83.4,15.1,"{""family_household_pct"": 79.6, ""non_family_household_pct"": 20.4, ""lone_person_pct"": 17.8}"
Adelong,NSW,SAL10018,2021,49.0,1158.0,2.3,80.2,15.5,"{""family_household_pct"": 66.0, ""non_family_household_pct"": 34.8, ""lone_person_pct"": 32.2}"
Adjungbilly,NSW,SAL10019,2021,41.0,2312.0,2.8,57.7,15.4,"{""family_household_pct"": 80.8, ""non_family_household_pct"": 26.9, ""lone_person_pct"": 26.9}"
Afterlee,NSW,SAL10020,2021,64.0,762.0,1.8,88.2,0.0,"{""family_household_pct"": 41.2, ""non_family_household_pct"": 70.6, ""lone_person_pct"": 41.2}"
Agnes Banks,NSW,SAL10021,2021,38.0,2454.0,3.1,74.9,19.5,"{""family_household_pct"": 83.1, ""non_family_household_pct"": 16.9, ""lone_person_pct"": 16.3}"
Airds,NSW,SAL10022,2021,29.0,944.0,2.9,19.8,76.0,"{""family_household_pct"": 73.3, ""non_family_household_pct"": 27.0, ""lone_person_pct"": 23.8}"
Akolele,NSW,SAL10023,2021,43.0,778.0,2.4,52.9,45.6,"{""family_household_pct"": 70.6, ""non_family_household_pct"": 27.9, ""lone_person_pct"": 26.5}"
Albert,NSW,SAL10024,2021,50.0,1187.0,2.6,76.0,0.0,"{""family_household_pct"": 72.0, ""non_family_household_pct"": 32.0, ""lone_person_pct"": 36.0}"
Albion Park,NSW,SAL10025,2021,36.0,1938.0,2.9,80.8,17.5,"{""family_household_pct"": 82.1, ""non_family_household_pct"": 17.8, ""lone_person_pct"": 16.3}"
Albion Park Rail,NSW,SAL10026,2021,41.0,1411.0,2.5,70.5,26.5,"{""family_household_pct"": 72.3, ""non_family_household_pct"": 27.7, ""lone_person_pct"": 25.1}"
Albury,NSW,SAL10027,2021,45.0,1601.0,2.0,58.5,39.2,"{""family_household_pct"": 56.5, ""non_family_household_pct"": 43.6, ""lone_person_pct"": 39.6}"
Aldavilla,NSW,SAL10028,2021,36.0,1222.0,2.5,88.0,7.7,"{""family_household_pct"": 74.9, ""non_family_household_pct"": 23.2, ""lone_person_pct"": 23.2}"
Alectown,NSW,SAL10029,2021,49.0,1803.0,2.4,75.0,21.7,"{""family_household_pct"": 65.0, ""non_family_household_pct"": 25.0, ""lone_person_pct"": 30.0}"
Alexandria,NSW,SAL10030,2021,34.0,2654.0,2.0,46.5,52.0,"{""family_household_pct"": 55.0, ""non_family_household_pct"": 45.1, ""lone_person_pct"": 35.0}"
Alfords Point,NSW,SAL10031,2021,43.0,2969.0,3.3,95.4,3.9,"{""family_household_pct"": 91.5, ""non_family_household_pct"": 8.5, ""lone_person_pct"": 7.4}"
Alfredtown,NSW,SAL10032,2021,41.0,2624.0,3.1,112.0,0.0,"{""family_household_pct"": 104.0, ""non_family_household_pct"": 16.0, ""lone_person_pct"": 16.0}"
Alice,NSW,SAL10033,2021,59.0,1074.0,3.0,100.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Alison,NSW,SAL10034,2021,47.0,2249.0,2.9,84.4,9.4,"{""family_household_pct"": 68.8, ""non_family_household_pct"": 9.4, ""lone_person_pct"": 9.4}"
Alison,NSW,SAL10035,2021,53.0,1375.0,2.1,68.3,22.0,"{""family_household_pct"": 61.0, ""non_family_household_pct"": 43.9, ""lone_person_pct"": 41.5}"
Allambie Heights,NSW,SAL10036,2021,43.0,2890.0,3.0,78.8,18.0,"{""family_household_pct"": 79.6, ""non_family_household_pct"": 20.3, ""lone_person_pct"": 18.9}"
Allandale,NSW,SAL10037,2021,49.0,2124.0,2.3,84.4,0.0,"{""family_household_pct"": 68.8, ""non_family_household_pct"": 21.9, ""lone_person_pct"": 21.9}"
Allawah,NSW,SAL10038,2021,36.0,1774.0,2.5,51.0,46.1,"{""family_household_pct"": 70.0, ""non_family_household_pct"": 29.8, ""lone_person_pct"": 24.1}"
Alleena,NSW,SAL10039,2021,31.0,1875.0,3.2,78.6,0.0,"{""family_household_pct"": 92.9, ""non_family_household_pct"": 64.3, ""lone_person_pct"": 64.3}"
